cohort_month,month_number,active_customers
2016-09-01 00:00:00.000000 UTC,0,4
2016-10-01 00:00:00.000000 UTC,0,324
2016-12-01 00:00:00.000000 UTC,0,1
2017-01-01 00:00:00.000000 UTC,0,800
2017-02-01 00:00:00.000000 UTC,0,1780
2017-03-01 00:00:00.000000 UTC,0,2682
2017-04-01 00:00:00.000000 UTC,0,2404
2017-05-01 00:00:00.000000 UTC,0,3700
2017-06-01 00:00:00.000000 UTC,0,3245
2017-07-01 00:00:00.000000 UTC,0,4026
2017-08-01 00:00:00.000000 UTC,0,4331
2017-09-01 00:00:00.000000 UTC,0,4285
2017-10-01 00:00:00.000000 UTC,0,4631
2017-11-01 00:00:00.000000 UTC,0,7544
2017-12-01 00:00:00.000000 UTC,0,5673
2018-01-01 00:00:00.000000 UTC,0,7269
2018-02-01 00:00:00.000000 UTC,0,6728
2018-03-01 00:00:00.000000 UTC,0,7211
2018-04-01 00:00:00.000000 UTC,0,6939
2018-05-01 00:00:00.000000 UTC,0,6873
2018-06-01 00:00:00.000000 UTC,0,6167
2018-07-01 00:00:00.000000 UTC,0,6292
2018-08-01 00:00:00.000000 UTC,0,6512
2018-09-01 00:00:00.000000 UTC,0,16
2018-10-01 00:00:00.000000 UTC,0,4
