month,total_orders,total_revenue,AOV
2016-10-01 00:00:00.000000 UTC,265,46566.709999999955,175.72343396226398
2016-12-01 00:00:00.000000 UTC,1,19.62,19.62
2017-01-01 00:00:00.000000 UTC,750,127545.6699999999,170.06089333333318
2017-02-01 00:00:00.000000 UTC,1653,271298.6500000002,164.12501512401707
2017-03-01 00:00:00.000000 UTC,2546,414369.39000000089,162.7530989787906
2017-04-01 00:00:00.000000 UTC,2303,390952.17999999964,169.75778549717745
2017-05-01 00:00:00.000000 UTC,3546,567066.73000000243,159.91729554427593
2017-06-01 00:00:00.000000 UTC,3135,490225.60000000312,156.37180223285586
2017-07-01 00:00:00.000000 UTC,3872,566403.93000000343,146.28200671487693
2017-08-01 00:00:00.000000 UTC,4193,646000.61000000092,154.06644645838324
2017-09-01 00:00:00.000000 UTC,4150,701169.98999999941,168.95662409638541
2017-10-01 00:00:00.000000 UTC,4478,751140.27000000014,167.74012282268873
2017-11-01 00:00:00.000000 UTC,7289,1153528.0500000003,158.25600905474005
2017-12-01 00:00:00.000000 UTC,5513,843199.16999999981,152.94742789769631
2018-01-01 00:00:00.000000 UTC,7069,1078606.8600000024,152.58266515773127
2018-02-01 00:00:00.000000 UTC,6555,966510.88000000047,147.44635850495811
2018-03-01 00:00:00.000000 UTC,7003,1120677.9999999932,160.02827359702889
2018-04-01 00:00:00.000000 UTC,6798,1132933.9499999953,166.65695057369746
2018-05-01 00:00:00.000000 UTC,6749,1128836.6899999962,167.2598444213952
2018-06-01 00:00:00.000000 UTC,6099,1012090.6799999953,165.94370880472133
2018-07-01 00:00:00.000000 UTC,6159,1027903.8600000002,166.89460301997082
2018-08-01 00:00:00.000000 UTC,6351,985414.2799999977,155.1589167060302
