month,payment_type,transaction_count,total_revenue,average_ticket
2018-10-01 00:00:00.000000 UTC,voucher,4,589.67,147.42
2018-09-01 00:00:00.000000 UTC,voucher,15,4439.54,295.97
2018-09-01 00:00:00.000000 UTC,not_defined,1,0.0,0.0
2018-08-01 00:00:00.000000 UTC,debit_card,277,46001.33,166.07
2018-08-01 00:00:00.000000 UTC,credit_card,4985,797648.89,160.01
2018-08-01 00:00:00.000000 UTC,boleto,1139,143805.9,126.26
2018-08-01 00:00:00.000000 UTC,voucher,295,34969.2,118.54
2018-08-01 00:00:00.000000 UTC,not_defined,2,0.0,0.0
2018-07-01 00:00:00.000000 UTC,debit_card,242,44866.18,185.4
2018-07-01 00:00:00.000000 UTC,credit_card,4755,803674.49,169.02
2018-07-01 00:00:00.000000 UTC,boleto,1229,198041.24,161.14
2018-07-01 00:00:00.000000 UTC,voucher,281,19958.84,71.03
2018-06-01 00:00:00.000000 UTC,debit_card,182,35672.62,196.0
2018-06-01 00:00:00.000000 UTC,credit_card,4813,811508.56,168.61
2018-06-01 00:00:00.000000 UTC,boleto,1100,153350.28,139.41
2018-06-01 00:00:00.000000 UTC,voucher,324,23349.04,72.06
2018-05-01 00:00:00.000000 UTC,debit_card,51,9710.74,190.41
2018-05-01 00:00:00.000000 UTC,credit_card,5497,927556.35,168.74
2018-05-01 00:00:00.000000 UTC,boleto,1263,195378.93,154.69
2018-05-01 00:00:00.000000 UTC,voucher,324,21336.13,65.85
2018-04-01 00:00:00.000000 UTC,credit_card,5455,934306.0,171.28
2018-04-01 00:00:00.000000 UTC,boleto,1287,193547.09,150.39
2018-04-01 00:00:00.000000 UTC,debit_card,97,10782.53,111.16
2018-04-01 00:00:00.000000 UTC,voucher,370,22149.86,59.86
2018-03-01 00:00:00.000000 UTC,credit_card,5691,933770.1,164.08
2018-03-01 00:00:00.000000 UTC,boleto,1352,191538.02,141.67
2018-03-01 00:00:00.000000 UTC,debit_card,78,8375.11,107.37
2018-03-01 00:00:00.000000 UTC,voucher,391,25968.89,66.42
2018-02-01 00:00:00.000000 UTC,credit_card,5253,778803.0,148.26
2018-02-01 00:00:00.000000 UTC,boleto,1325,183112.72,138.2
2018-02-01 00:00:00.000000 UTC,debit_card,69,7469.53,108.25
2018-02-01 00:00:00.000000 UTC,voucher,305,23078.09,75.67
2018-01-01 00:00:00.000000 UTC,credit_card,5520,868880.38,157.41
2018-01-01 00:00:00.000000 UTC,boleto,1518,204844.66,134.94
2018-01-01 00:00:00.000000 UTC,debit_card,109,11543.55,105.9
2018-01-01 00:00:00.000000 UTC,voucher,416,29735.59,71.48
2017-12-01 00:00:00.000000 UTC,credit_card,4377,682859.59,156.01
2017-12-01 00:00:00.000000 UTC,boleto,1160,165584.05,142.74
2017-12-01 00:00:00.000000 UTC,debit_card,64,7125.34,111.33
2017-12-01 00:00:00.000000 UTC,voucher,294,22832.5,77.66
2017-11-01 00:00:00.000000 UTC,credit_card,5897,942856.67,159.89
2017-11-01 00:00:00.000000 UTC,boleto,1509,226292.34,149.96
2017-11-01 00:00:00.000000 UTC,debit_card,70,6168.1,88.12
2017-11-01 00:00:00.000000 UTC,voucher,387,19565.69,50.56
2017-10-01 00:00:00.000000 UTC,credit_card,3524,614327.89,174.33
2017-10-01 00:00:00.000000 UTC,boleto,993,140633.45,141.62
2017-10-01 00:00:00.000000 UTC,debit_card,52,5776.57,111.09
2017-10-01 00:00:00.000000 UTC,voucher,291,18939.97,65.09
2017-09-01 00:00:00.000000 UTC,credit_card,3283,574484.15,174.99
2017-09-01 00:00:00.000000 UTC,boleto,903,131042.24,145.12
2017-09-01 00:00:00.000000 UTC,debit_card,43,4690.36,109.08
2017-09-01 00:00:00.000000 UTC,voucher,287,17545.7,61.13
2017-08-01 00:00:00.000000 UTC,credit_card,3284,521595.69,158.83
2017-08-01 00:00:00.000000 UTC,boleto,938,134289.81,143.17
2017-08-01 00:00:00.000000 UTC,debit_card,34,3136.84,92.26
2017-08-01 00:00:00.000000 UTC,voucher,294,15373.98,52.29
2017-07-01 00:00:00.000000 UTC,credit_card,3086,454988.47,147.44
2017-07-01 00:00:00.000000 UTC,boleto,845,116775.48,138.2
2017-07-01 00:00:00.000000 UTC,debit_card,22,2345.03,106.59
2017-07-01 00:00:00.000000 UTC,voucher,364,18273.94,50.2
2017-06-01 00:00:00.000000 UTC,credit_card,2463,388268.27,157.64
2017-06-01 00:00:00.000000 UTC,boleto,707,107774.16,152.44
2017-06-01 00:00:00.000000 UTC,debit_card,27,2424.17,89.78
2017-06-01 00:00:00.000000 UTC,voucher,239,12809.78,53.6
2017-05-01 00:00:00.000000 UTC,boleto,772,128652.9,166.65
2017-05-01 00:00:00.000000 UTC,credit_card,2853,445047.31,155.99
2017-05-01 00:00:00.000000 UTC,debit_card,30,3023.41,100.78
2017-05-01 00:00:00.000000 UTC,voucher,289,16195.2,56.04
2017-04-01 00:00:00.000000 UTC,credit_card,1846,322087.72,174.48
2017-04-01 00:00:00.000000 UTC,boleto,496,81307.24,163.93
2017-04-01 00:00:00.000000 UTC,debit_card,27,2790.0,103.33
